sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AV-412_inBT474 30000nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,30000.0,Tech replicate 1 of 1,True,84.02952315919397,47.251333565743685
_dyn_#AV-412_inBT474 3000nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,3000.0,Tech replicate 1 of 1,True,110.84876941917952,57.4886363068528
_dyn_#AV-412_inBT474 300nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,300.0,Tech replicate 1 of 1,True,99.56860480050382,52.680682882385014
_dyn_#AV-412_inBT474 30nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,30.0,Tech replicate 1 of 1,True,94.68686409500292,47.69219224291924
_dyn_#AV-412_inBT474 3nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,3.0,Tech replicate 1 of 1,True,103.23457977698259,55.783722896413465
_dyn_#AV-412_inBT474 DMSO.Tech replicate 1 of 1,dyn,AV-412,BT474,dmso,0.0,Tech replicate 1 of 1,True,99.02174194313749,53.97718426935188
_dyn_#AV-412_inBT474 PDPD.Tech replicate 1 of 1,dyn,AV-412,BT474,pdpd,0.0,Tech replicate 1 of 1,True,71.89919041172766,37.78247822208729
_dyn_#AXL-1717 1000nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-96.32954925287916,23.90133351748409
_dyn_#AXL-1717 100nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-74.31225519038418,18.47855544496613
_dyn_#AXL-1717 10nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-77.80258011279861,19.118219540988573
_dyn_#AXL-1717 30000nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-89.62607148648011,25.19915969585734
_dyn_#AXL-1717 3000nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-87.30966802544516,26.687379426937966
_dyn_#AXL-1717 300nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-94.36558954982611,25.335823173893573
_dyn_#AXL-1717 30nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-99.30883674412802,26.73951475984109
_dyn_#AXL-1717 3nM.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-87.59587099066059,23.685681387412288
_dyn_#AXL-1717 DMSO.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-55.77141863514776,11.54545701098451
_dyn_#AXL-1717 PDPD.Tech replicate 1 of 1,dyn,AXL-1717,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-84.95651415060898,23.593979706123676
_dyn_#AZD-1208 1000nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-30.69034732426135,0.2564785608252297
_dyn_#AZD-1208 100nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-29.14330834689939,-1.6375845665590805
_dyn_#AZD-1208 10nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-30.907011140765754,2.2344278837387237
_dyn_#AZD-1208 30000nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-21.780206078865398,-2.4135733702816378
